date,total_bill,tip,sex,smoker,size
05-01-2023,21.16,3.0,Male,No,2.0
05-01-2023,10.07,1.83,Female,No,1.0
05-01-2023,29.93,5.07,Male,No,4.0
05-01-2023,12.03,1.5,Male,Yes,2.0
05-01-2023,34.81,5.2,Female,No,4.0
05-01-2023,41.19,5.0,Male,No,5.0
05-01-2023,15.01,2.09,Male,Yes,2.0
05-01-2023,14.52,2.0,Female,No,2.0
05-01-2023,15.42,1.57,Male,No,2.0
05-01-2023,29.03,5.92,Male,No,3.0
05-01-2023,39.42,7.58,Male,No,4.0
05-01-2023,23.17,6.5,Male,Yes,"4,0"
05-01-2023,19.49,3.51,Male,No,2.0
05-01-2023,13.0,2.0,Female,Yes,2.0
05-01-2023,9.94,1.56,Male,No,2.0
05-01-2023,13.42,3.48,Female,Yes,2.0
05-01-2023,17.59,2.64,Male,No,3.0
05-01-2023,24.01,2.0,Male,Yes,4.0
05-01-2023,15.36,1.64,Male,Yes,2.0
05-01-2023,29.8,4.2,Female,No,6.0
05-01-2023,10.63,2.0,Female,Yes,2.0
05-01-2023,16.47,3.23,Female,Yes,3.0
05-01-2023,18.64,1.36,Female,No,3.0
05-01-2023,30.4,5.6,Male,No,4.0
05-01-2023,30.06,2.0,Male,Yes,3.0
05-01-2023,12.16,2.2,Male,Yes,2.0
05-01-2023,20.92,4.08,Female,No,2.0
05-01-2023,18.28,4.0,Male,No,2.0
05-01-2023,8.58,1.92,Male,Yes,"1,0"
05-01-2023,16.04,2.24,Male,No,3.0
05-01-2023,15.95,2.0,Male,No,2.0
05-01-2023,7.56,1.44,Male,No,2.0
05-01-2023,15.98,3.0,Female,No,3.0
05-01-2023,15.48,2.02,Male,Yes,2.0
05-01-2023,40.55,3.0,Male,Yes,2.0
05-01-2023,48.27,6.73,Male,No,4.0
05-01-2023,24.52,3.48,Male,No,3.0
05-01-2023,10.51,1.25,Male,No,2.0
05-01-2023,48.33,9.0,Male,No,4.0
05-01-2023,48.17,5.0,Male,No,6.0
05-01-2023,17.31,3.5,Female,No,2.0
05-02-2023,25.34,4.66,Male,Yes, 
05-02-2023,22.12,2.88,Female,Yes,2.0
05-02-2023,10.33,2.0,Female,No,2.0
05-02-2023,21.5,3.5,Male,No,4.0
05-02-2023,20.9,3.5,Female,Yes,3.0
05-02-2023,38.07,4.0,Male,No,3.0
05-02-2023,11.59,1.5,Male,Yes,2.0
05-02-2023,12.6,1.0,Male,Yes,2.0
05-02-2023,12.13,2.87,Female,Yes,-
05-02-2023,20.29,3.21,Male,Yes,2.0
05-02-2023,28.97,3.0,Male,Yes,2.0
05-02-2023,18.04,3.0,Male,No,2.0
05-02-2023,14.07,2.5,Male,No,2.0
05-02-2023,16.45,2.47,Female,No,2.0
05-02-2023,18.43,3.0,Male,No,4.0
05-02-2023,17.92,4.08,Male,No,2.0
05-02-2023,10.07,1.25,Male,No,2.0
05-02-2023,16.27,2.5,Female,Yes,2.0
05-02-2023,17.82,1.75,Male,No,2.0
05-02-2023,9.78,1.73,Male,No,2.0
05-02-2023,15.69,1.5,Male,Yes,2.0
05-02-2023,18.29,3.0,Male,No,2.0
05-02-2023,35.26,5.0,Female,No,4.0
05-02-2023,11.24,1.76,Male,Yes,2.0
05-02-2023,26.59,3.41,Male,Yes,3.0
05-02-2023,12.9,1.1,Female,Yes,2.0
05-02-2023,20.69,5.0,Male,No,5.0
05-02-2023,16.31,2.0,Male,No,3.0
05-02-2023,16.66,3.4,Male,No,2.0
05-02-2023,16.0,2.0,Male,Yes,2.0
05-02-2023,20.45,3.0,Male,No,4.0
05-02-2023,3.07,1.0,Female,Yes,1.0
05-02-2023,17.89,2.0,Male,Yes,2.0
05-02-2023,17.51,3.0,Female,Yes,2.0
05-02-2023,11.17,1.5,Female,No,2.0
05-02-2023,16.97,3.5,Female,No,3.0
